WORD,_TOTAL_,VERB
is,16826445779.0,0.9990824265443348
be,10648752216.0,0.9902997593610268
was,10290955723.0,0.9999428498172734
are,7686253304.0,0.986300712735397
have,5754389295.0,0.9970961198237805
were,4250849586.0,0.9999504242632593
had,4241569818.0,0.9994633510474494
has,3731968639.0,0.9985064987037261
been,3505309438.0,0.9984002065725759
will,3440539955.0,0.9536079495987135
can,3073206791.0,0.9671093779644065
would,2970224748.0,0.9982920969184518
may,2867120508.0,0.8731308077267605
do,2218717470.0,0.8854936198794162
said,1876380755.0,0.9954614600595816
should,1739126825.0,0.9983075736871576
made,1705673992.0,0.9838377438307097
see,1673283946.0,0.9089492949692114
could,1576090212.0,0.9838567927100356
shall,1382328524.0,0.9955120379184189
being,1302616555.0,0.9063381257272598
did,1285300591.0,0.9455080099624726
must,1266534763.0,0.9999365710264362
used,1121048889.0,0.994146511303487
make,1010276413.0,0.9856670087377364
found,852223201.0,0.9881074277394614
does,832671823.0,0.9386783513148853
given,797798544.0,0.9546179154220166
know,772978319.0,0.9902207451176906
take,755047335.0,0.9866132022040711
might,726140038.0,0.9890158143297423
think,630161105.0,0.9917258873030572
get,621122736.0,0.9511599282367922
say,613162140.0,0.9803526828972187
come,609010553.0,0.9280834071195478
go,600539098.0,0.9166076510808627
having,593760853.0,0.9906298706425497
give,564587391.0,0.9480758400429811
called,558691999.0,0.8985012545347012
taken,549747586.0,0.9999466027668924
am,536675328.0,0.8263576763491539
find,494318633.0,0.9641469938277645
held,475107846.0,0.9456807055129122
required,470770957.0,0.9566770300997987
came,470442383.0,0.991193238216379
known,463226811.0,0.8917329571409458
put,456646621.0,0.986251351239058
let,446306881.0,0.9868703682388441
including,444647985.0,0.9821549826656698
provided,439475571.0,0.9999435509010351
done,436087380.0,0.9856727245810232
making,435642722.0,0.8099080466217452
using,428556446.0,0.99593984639307
going,423516133.0,0.9598714814483821
become,417361323.0,0.9942026180514096
want,409540407.0,0.9178915500760344
provide,396315191.0,0.9999243808951043
seen,393964130.0,0.9999578971821622
shown,384543774.0,0.9999518728393194
received,384273520.0,0.9937974128428105
took,383821590.0,0.9999713278244717
went,362138429.0,0.9999653916872766
read,349432537.0,0.9260948616241766
considered,345198166.0,0.9837137199622318
paid,334401150.0,0.9758772869052633
asked,332941757.0,0.9895071647621538
brought,318272879.0,0.990114332047752
increased,310516213.0,0.9950925750856043
told,301563521.0,0.9999715913915198
include,295785342.0,0.9998402659182483
described,294714554.0,0.9920665404260965
believe,294164724.0,0.9773397642335931
became,291786510.0,0.9944057729056768
got,290621317.0,0.9786161591167795
established,279921203.0,0.9105510203169569
keep,279896988.0,0.9881309405158729
gave,272875259.0,0.9946052822619584
written,266774617.0,0.9775605000681156
tell,265004118.0,0.9914821323644488
reported,263046729.0,0.9904657662555462
saw,262229079.0,0.958727700828328
published,262175329.0,0.995509146476555
proposed,259035565.0,0.991690492384704
began,247835464.0,0.9901015255831184
carried,247337741.0,0.982304035032001
taking,246428914.0,0.9285222837122108
developed,244530523.0,0.9071347138123939
felt,243095371.0,0.9891050414119157
presented,242192214.0,0.9998218976601783
knew,241821503.0,0.9999551115187635
sent,239812573.0,0.9998507793000495
looked,239736865.0,0.999975126895899
added,239026741.0,0.9260112700109985
passed,237984377.0,0.9939843572168605
applied,235854575.0,0.8535118557695986
included,235852270.0,0.9978850616956114
produced,233847055.0,0.9892310082759007
placed,232885604.0,0.9999571463421156
leave,231274510.0,0.8358339230726292
feel,229672910.0,0.9601369835040624
determined,226194555.0,0.9770808850814291
appear,225225321.0,0.996396004692563
heard,224408678.0,0.988473444863839
meet,219390733.0,0.978398522420726
doing,218497904.0,0.9746494684910112
needed,217541323.0,0.978772878934822
involved,217389563.0,0.985317593190985
turned,215006760.0,0.9947115104659965
consider,212217474.0,0.8926173204756928
lost,211490204.0,0.9895720654749569
followed,211340341.0,0.9928896537552194
associated,208865153.0,0.8022635829539263
expected,208567673.0,0.9470807347982446
live,207373306.0,0.8160531375238816
bring,204547719.0,0.9631196816230446
observed,203728063.0,0.8822166144091793
understand,202815252.0,0.9999354979476592
hold,202292559.0,0.8612782687671671
seemed,201090678.0,0.9999803024185935
stated,198757163.0,0.9728977013019652
ask,195872583.0,0.9177059966580418
referred,194435566.0,0.9999611953710156
seem,193757587.0,0.9999676502990306
kept,190264640.0,0.9943710560196577
wanted,190075364.0,0.9952032763172822
looking,189951565.0,0.8974343433285217
produce,188028643.0,0.8870926649191422
mentioned,187032395.0,0.9999439722728247
prepared,186647010.0,0.8833090173799194
allowed,185885379.0,0.9883121522968195
determine,184132158.0,0.9542298363765442
gives,183202911.0,0.9793845306311754
